duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,Action,Adventure,Comedy,Crime,Documentary,Drama,Family,Horror,Mystery,Romance,Sci-Fi,Thriller,facenumber_in_poster,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,imdb_score
123,452,329,10000,t,t,t,f,f,f,f,f,f,f,t,f,8,English,USA,PG-13,175000000,336,2.35,good
96,293,7000,87000,f,f,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,175000000,11000,2.35,average
113,218,509,10000,t,t,f,f,f,f,f,f,f,f,t,f,1,English,USA,PG-13,178000000,854,2.35,good
176,58,60,711,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,175000000,60,1.85,average
118,208,570,23000,t,t,f,f,f,f,f,f,f,f,t,t,4,English,USA,PG-13,175000000,2000,2.35,average
95,0,384,1000,f,t,t,f,f,t,t,f,f,f,f,f,1,English,USA,PG,175000000,767,1.85,good
106,4000,591,19000,f,t,f,f,f,t,t,f,f,f,f,f,0,English,UK,PG,175000000,13000,1.85,good
124,4000,4000,21000,t,t,f,f,f,f,f,f,f,f,t,f,4,English,USA,PG-13,200000000,19000,2.35,good
132,274,11000,26000,t,t,f,f,f,t,f,f,f,f,f,f,0,English,USA,PG-13,170000000,17000,2.35,average
97,171,846,11000,t,t,f,f,f,f,t,f,f,t,f,f,2,English,USA,PG,180000000,2000,2.35,good
130,198,884,10000,t,t,f,f,f,t,f,f,f,f,t,f,0,English,USA,PG-13,170000000,2000,1.85,good
109,596,283,622,t,t,f,f,f,f,f,f,f,t,t,f,3,English,International,R,155008719,525,1.33,average
128,47,982,18000,t,t,f,f,f,t,f,f,f,f,f,f,2,English,USA,PG-13,175000000,1000,2.35,average
136,94,2000,19000,t,t,f,f,f,f,f,f,f,f,t,f,1,English,USA,PG-13,170000000,11000,2.35,good
93,31,213,4000,f,t,t,f,f,f,t,f,f,f,f,f,2,English,USA,PG,165000000,225,2.35,average
130,663,604,2000,t,t,f,f,f,f,t,f,t,f,t,f,2,English,USA,PG,190000000,638,2.2,average
102,38,562,756,t,t,t,f,f,t,t,f,f,f,t,f,0,English,USA,PG,165000000,719,2.39,good
101,66,833,975,f,t,t,f,f,f,t,f,f,f,t,f,1,English,USA,PG,165000000,931,2.35,good
100,0,267,15000,f,t,f,f,f,f,t,f,f,f,f,f,0,English,USA,G,165000000,726,2.35,average
120,776,535,890,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,165000000,812,2.35,average
98,255,759,18000,f,t,f,f,f,f,t,f,f,f,f,f,0,English,USA,PG,165000000,953,2.35,good
109,84,191,648,t,f,f,f,f,f,f,f,f,f,t,f,0,English,USA,R,200000000,284,2.35,average
121,571,3000,14000,t,t,f,f,f,f,f,f,f,f,t,f,3,English,USA,PG-13,170000000,14000,2.35,good
169,22000,6000,11000,f,t,f,f,f,t,f,f,f,f,t,f,1,English,USA,PG-13,165000000,11000,2.35,good
148,22000,23000,29000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,160000000,27000,2.35,good
182,0,773,5000,f,t,f,f,f,f,f,f,f,f,f,f,1,English,USA,PG-13,180000000,972,2.35,good
106,357,4000,23000,t,f,f,t,f,f,f,f,f,f,f,t,2,English,USA,PG-13,38000000,14000,2.35,good
166,21000,919,11000,f,f,f,f,f,t,f,f,f,t,f,f,2,English,USA,PG-13,150000000,1000,2.35,good
132,905,1000,34000,t,t,f,f,f,f,f,f,f,f,t,f,3,English,USA,PG-13,160000000,13000,2.35,good
137,508,14000,34000,f,t,f,f,f,f,f,f,f,f,t,f,1,English,USA,PG-13,160000000,22000,2.35,average
109,226,370,12000,t,t,f,f,f,f,t,f,f,f,f,f,0,English,USA,PG,150000000,418,2.35,average
98,249,702,87000,t,t,f,f,f,t,f,f,f,f,f,t,0,English,USA,PG-13,160000000,2000,2.35,average
113,33,11000,40000,f,t,f,f,f,f,t,f,f,f,f,f,1,English,USA,PG,170000000,25000,1.85,average
93,50,692,3000,f,t,t,f,f,f,t,f,f,f,f,f,2,English,USA,PG,160000000,795,1.85,average
123,0,648,3000,t,t,f,f,f,f,f,f,f,f,f,f,0,English,USA,PG-13,160000000,716,2.35,good
126,230,2000,24000,t,t,f,f,f,f,f,f,f,f,t,f,2,English,USA,PG-13,155000000,10000,2.35,average
113,150,59,531,f,t,f,f,f,f,t,f,f,f,f,f,4,English,USA,PG,155000000,82,1.78,average
184,0,691,3000,t,f,f,f,f,t,f,f,f,t,f,f,0,English,USA,PG-13,140000000,961,2.35,average
144,0,581,662,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,150000000,599,2.35,good
206,0,591,12000,t,t,f,f,f,t,f,f,f,t,f,f,3,English,Germany,R,155000000,11000,2.35,average
138,282,687,21000,f,t,f,f,f,f,t,f,t,f,f,f,3,English,UK,PG-13,150000000,11000,2.35,good
157,179,10000,21000,f,t,f,f,f,f,t,f,t,f,f,f,1,English,UK,PG-13,150000000,11000,2.35,good
102,532,979,10000,t,f,f,f,f,t,f,f,f,f,f,f,0,English,USA,PG-13,150000000,9000,2.35,average
104,508,558,10000,f,f,f,f,f,t,f,t,f,f,t,f,0,English,USA,PG-13,150000000,1000,2.35,good
115,13000,588,40000,f,t,t,f,f,f,t,f,f,f,f,f,3,English,USA,PG,150000000,16000,1.85,good
111,663,954,1000,f,f,t,f,f,f,t,f,f,f,f,f,0,English,USA,G,150000000,1000,2.35,good
128,22000,11000,23000,t,t,f,f,f,f,f,f,f,f,f,f,0,English,USA,PG-13,150000000,14000,2.35,good
89,35,436,1000,t,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,150000000,851,1.85,good
105,189,1000,49000,f,t,t,f,f,f,t,f,f,f,f,f,2,English,USA,PG,150000000,3000,2.35,average
119,151,2000,20000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,150000000,16000,2.35,good
129,0,233,309,t,f,f,f,f,f,f,f,f,f,t,f,0,English,Australia,R,150000000,269,2.35,good
102,69,490,1000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,150000000,523,2.24,good
138,0,30,234,t,f,f,f,f,f,f,f,f,f,t,f,0,English,USA,R,150000000,198,2.35,good
112,230,12000,26000,t,t,f,f,f,f,f,f,f,f,f,f,3,English,USA,PG-13,170000000,20000,2.35,good
120,750,943,27000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,Australia,R,150000000,9000,2.35,good
146,2000,294,15000,f,f,f,f,f,f,f,f,t,f,f,t,2,English,USA,PG-13,150000000,745,2.35,good
115,0,12000,26000,t,t,f,f,f,f,f,f,f,f,f,f,1,English,USA,PG-13,150000000,20000,2.35,good
96,59,699,17000,f,t,t,f,f,t,t,f,f,f,f,f,0,English,USA,PG,150000000,759,1.85,good
88,12,182,730,t,t,t,f,f,f,t,f,f,f,t,f,0,English,USA,PG,150000000,607,2.35,average
99,473,502,14000,t,t,f,f,f,f,f,f,f,f,f,f,0,English,USA,PG-13,150000000,897,1.85,average
113,13000,16000,40000,f,f,t,f,f,f,f,t,f,f,f,f,7,English,USA,PG-13,100000000,17000,1.85,average
131,188,641,10000,t,t,f,f,f,f,f,f,f,f,f,t,0,English,China,PG-13,150000000,10000,2.35,good
119,394,162,12000,f,f,f,f,f,t,f,t,f,f,f,t,0,English,USA,R,150000000,490,1.85,average
110,282,103,11000,t,t,f,f,f,t,f,f,f,t,f,f,2,English,USA,PG-13,180000000,10000,2.35,average
91,58,826,2000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,150000000,852,1.85,average
90,90,15,11000,t,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,150000000,10000,2.35,good
103,0,346,1000,t,t,f,f,f,f,t,f,f,f,f,f,0,English,USA,PG,150000000,756,2.35,average
124,14000,979,22000,t,t,f,f,f,f,f,f,f,f,f,t,0,English,USA,PG-13,150000000,10000,2.35,good
131,776,256,17000,t,f,f,f,f,t,f,f,f,f,f,t,2,English,USA,PG-13,150000000,551,2.35,average
88,25,433,921,t,t,t,f,f,f,t,f,f,f,t,f,0,English,USA,PG,150000000,562,2.35,average
85,42,586,20000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,UK,PG,149000000,14000,1.85,good
111,456,394,20000,f,t,f,f,f,f,t,f,f,f,f,f,4,English,USA,PG,150000000,548,2.35,average
92,50,517,3000,f,t,t,f,f,f,t,f,f,f,t,f,2,English,USA,PG,145000000,1000,1.85,good
196,249,844,11000,f,t,f,f,f,f,f,f,f,f,f,f,2,English,USA,R,175000000,5000,2.35,good
93,35,436,851,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,145000000,770,1.85,good
133,93,746,769,t,t,f,f,f,f,f,f,f,f,f,t,0,English,UK,PG-13,142000000,766,2.35,average
116,176,322,783,t,f,t,f,f,f,f,f,f,f,t,f,4,English,USA,PG-13,144000000,370,2.35,average
153,0,537,13000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,140000000,12000,2.35,average
88,188,826,10000,t,t,t,f,f,f,t,f,t,f,t,f,2,English,USA,PG-13,140000000,3000,1.85,average
115,0,964,18000,t,t,f,f,f,f,f,f,f,f,f,f,1,English,USA,PG-13,150000000,12000,2.35,average
95,5,967,24000,t,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,145000000,11000,2.35,good
133,663,690,10000,t,t,f,f,f,f,f,f,f,f,f,t,3,English,USA,PG-13,145000000,10000,2.35,good
97,52,161,20000,f,t,f,f,f,f,t,f,f,f,f,f,0,English,USA,PG,145000000,315,1.85,good
90,23,233,957,f,f,t,t,f,f,f,f,f,f,f,f,1,English,USA,PG-13,100000000,550,2.35,average
154,380,445,10000,t,f,f,f,f,t,f,f,f,f,f,f,1,English,USA,R,140000000,956,2.35,good
150,0,748,23000,t,t,f,f,f,t,f,f,f,f,f,f,0,English,UK,PG-13,140000000,893,2.35,average
127,14000,981,26000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,150000000,12000,2.35,good
121,0,4000,24000,t,t,f,f,f,f,f,f,f,t,f,f,0,English,USA,PG-13,139000000,11000,1.85,good
102,255,953,18000,t,t,t,f,f,f,t,f,f,f,f,f,5,English,USA,PG,145000000,3000,2.35,good
126,295,284,18000,t,t,f,f,f,f,f,f,f,f,f,f,4,English,USA,PG-13,140000000,934,2.35,average
121,357,653,820,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,135000000,780,2.35,average
215,0,413,986,t,f,f,f,f,t,f,f,t,f,t,f,1,English,USA,R,130000000,745,2.35,good
127,503,91,5000,t,f,f,t,f,f,f,f,f,f,f,t,2,English,USA,R,140000000,808,2.35,average
138,0,258,820,t,f,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,137000000,300,1.85,average
122,209,934,17000,t,t,f,f,f,f,f,f,f,f,t,t,6,English,USA,PG-13,130000000,12000,2.35,average
124,42,848,11000,t,t,t,f,f,f,f,f,f,f,f,t,3,English,UK,PG-13,130000000,973,2.35,average
106,6,422,12000,t,t,f,f,f,f,f,f,f,t,t,f,1,English,USA,PG-13,137000000,2000,1.85,average
124,394,2000,11000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,140000000,3000,2.35,good
128,150,244,766,t,t,f,f,f,f,f,f,f,f,f,t,2,English,UK,PG-13,135000000,536,2.35,average
138,608,168,613,t,t,f,f,f,t,f,f,f,f,f,f,1,English,USA,PG-13,150000000,172,2.35,good
115,386,12000,21000,f,t,f,f,f,t,f,f,f,t,f,f,3,English,USA,PG-13,120000000,17000,2.35,average
100,750,988,49000,f,f,t,f,f,f,t,f,f,f,f,f,0,English,Australia,PG,135000000,11000,2.35,average
135,255,882,3000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,150000000,1000,2.35,good
60,718,184,982,t,f,f,t,f,t,f,f,t,f,f,t,2,English,USA,TV-14,1500000,321,1.33,good
117,14000,358,535,f,t,f,f,f,f,t,f,f,f,f,f,0,English,UK,PG,140000000,400,2.35,good
156,0,733,29000,f,t,f,f,f,t,f,f,f,f,f,t,0,English,USA,R,135000000,27000,2.35,good
96,13,463,16000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,135000000,881,2.35,average
107,563,939,40000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,135000000,1000,2.35,good
92,35,179,19000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,132000000,411,1.85,good
115,521,883,13000,t,f,f,f,f,f,f,f,t,f,f,t,0,English,USA,PG-13,110000000,897,2.35,good
92,54,562,11000,t,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,130000000,967,2.35,good
117,235,680,2000,t,t,t,f,f,f,f,f,f,f,t,f,6,English,USA,PG-13,130000000,2000,1.85,good
146,508,523,34000,f,t,f,f,f,f,f,f,f,f,t,t,1,English,USA,PG-13,130000000,14000,2.35,good
115,386,12000,21000,f,t,f,f,f,t,f,f,f,t,f,f,3,English,USA,PG-13,120000000,17000,2.35,average
94,12,183,17000,f,t,t,f,f,f,t,f,f,f,t,f,0,English,USA,PG,135000000,523,1.85,good
116,14000,807,10000,f,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,132000000,1000,1.85,average
147,0,877,10000,t,f,t,t,f,f,f,f,f,f,f,t,1,English,USA,R,130000000,898,2.35,average
90,50,397,4000,t,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,130000000,442,2.35,good
101,176,282,11000,t,f,f,t,f,f,f,f,t,f,f,t,1,English,USA,PG-13,110000000,702,2.35,average
138,0,8000,12000,t,t,f,f,f,t,f,f,f,f,f,f,2,English,USA,PG-13,125000000,9000,1.85,average
107,14000,845,2000,t,t,f,f,f,f,t,f,t,f,f,f,1,English,USA,PG,135000000,871,2.35,good
142,0,10000,11000,f,t,f,f,f,f,t,f,t,f,f,f,3,English,UK,PG,130000000,10000,2.35,good
165,1000,165,309,f,t,f,f,f,t,f,f,f,t,f,f,0,English,Australia,PG-13,130000000,284,2.35,average
100,0,894,10000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,130000000,943,2.35,average
82,0,388,1000,f,t,f,f,f,f,t,f,f,f,f,t,1,English,USA,PG,127500000,558,1.85,average
98,189,1000,49000,f,t,t,f,f,f,t,f,f,f,f,f,7,English,USA,PG,127000000,3000,1.85,average
95,96,8000,24000,t,f,t,f,f,f,t,f,f,f,t,f,3,English,USA,PG,130000000,11000,2.35,good
159,0,645,11000,f,t,f,f,f,f,t,f,f,f,f,f,4,English,UK,PG,125000000,687,2.35,good
96,124,1000,16000,t,f,t,f,f,f,f,f,f,f,f,f,2,English,USA,PG-13,130000000,12000,2.35,average
143,563,1000,40000,t,t,f,f,f,f,f,f,f,f,f,f,3,English,USA,PG-13,140000000,5000,2.35,good
123,508,14000,34000,f,t,f,f,f,f,f,f,f,f,t,t,1,English,USA,PG-13,125000000,22000,2.35,good
174,2000,362,15000,f,f,f,f,f,f,f,f,t,f,f,t,2,English,USA,PG-13,125000000,574,2.35,average
101,107,56,688,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,G,103000000,237,2.35,average
134,0,346,20000,t,t,f,f,f,f,f,f,f,f,t,t,4,English,Canada,PG-13,110000000,505,2.35,good
132,681,12000,23000,t,f,f,t,f,f,f,f,f,f,f,t,3,English,USA,PG-13,125000000,14000,2.35,good
129,0,154,21000,t,t,f,t,f,f,f,f,t,f,f,t,2,English,USA,PG-13,125000000,979,2.35,good
106,255,850,14000,t,t,f,f,f,f,f,f,f,f,f,f,0,English,USA,PG-13,125000000,1000,2.35,average
113,719,217,605,t,f,f,f,f,f,f,f,f,f,t,f,0,English,USA,R,65000000,308,1.85,good
102,323,241,845,t,t,f,f,f,f,f,f,f,f,f,f,1,English,USA,R,85000000,372,2.35,average
135,209,602,10000,t,t,f,f,f,f,f,f,f,f,f,t,0,English,USA,PG-13,125000000,826,2.35,good
125,541,409,920,t,f,f,f,f,f,f,f,f,f,f,f,3,English,USA,PG-13,125000000,890,1.85,average
110,2000,636,1000,f,f,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,123000000,722,1.85,average
124,776,812,15000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,125000000,2000,2.35,average
123,610,653,10000,t,t,f,f,f,f,f,f,f,f,f,t,0,English,USA,PG-13,125000000,794,2.35,average
130,249,461,784,t,t,f,f,f,t,f,f,f,f,f,t,0,English,USA,PG-13,140000000,638,2.35,average
92,167,702,11000,t,t,f,f,f,f,f,f,f,f,t,t,3,English,USA,PG,130000000,2000,2.35,average
127,0,341,774,f,t,f,f,f,t,f,f,f,f,f,f,0,English,USA,PG,120000000,358,1.85,good
123,160,402,12000,t,f,f,f,f,f,f,f,f,f,f,t,1,English,USA,PG-13,110000000,701,2.35,average
123,521,265,13000,t,f,f,f,f,f,f,f,f,f,f,t,0,English,UK,PG-13,120000000,365,2.35,good
107,368,1000,2000,t,t,t,t,f,f,f,f,f,f,f,f,0,English,USA,PG-13,120000000,1000,2.35,average
124,0,641,13000,f,t,f,f,f,f,f,f,t,f,t,f,0,English,USA,R,130000000,9000,2.35,good
77,50,537,886,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,120000000,799,1.85,average
109,662,1000,13000,t,f,f,f,f,t,f,f,f,f,t,t,0,English,USA,R,115000000,2000,2.35,average
134,123,567,14000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,105000000,850,2.35,good
117,294,1000,10000,t,f,f,t,f,f,f,f,f,f,t,t,0,English,USA,PG-13,100000000,2000,2.35,average
135,0,87,690,t,f,f,f,f,f,t,f,f,f,f,f,0,English,USA,PG,120000000,107,2.35,average
121,274,157,273,f,f,t,f,f,t,f,f,f,t,f,f,4,English,USA,PG-13,120000000,216,1.85,average
117,446,877,10000,t,f,t,f,f,f,f,f,f,t,f,f,0,English,USA,PG-13,117000000,973,2.35,average
124,364,1000,11000,t,t,f,f,f,f,f,f,t,f,t,f,0,English,USA,PG-13,120000000,10000,2.35,good
140,0,4000,20000,t,t,f,f,f,f,f,f,f,f,t,f,4,English,USA,PG-13,113000000,16000,2.35,good
142,0,4000,20000,t,t,f,f,f,f,f,f,f,f,t,f,3,English,USA,PG,115000000,16000,1.78,good
92,0,773,12000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,G,115000000,1000,1.85,good
138,446,929,20000,t,t,f,f,f,f,f,f,f,f,t,t,1,English,USA,PG-13,120000000,992,2.35,good
136,0,1000,20000,t,t,f,f,f,f,f,f,f,f,t,f,1,English,USA,PG,115000000,14000,2.35,average
98,16,12000,16000,f,t,t,f,f,f,t,f,f,f,f,f,3,English,USA,PG,135000000,15000,2.35,good
153,610,617,12000,t,f,f,f,f,t,f,f,f,f,f,f,0,English,USA,R,115000000,836,2.35,average
120,19,9000,26000,t,t,f,f,f,t,f,f,f,f,f,f,2,English,USA,PG-13,115000000,11000,2.35,average
101,473,429,833,t,t,t,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,125000000,809,2.35,average
91,0,13,39,f,t,f,f,f,t,f,f,f,f,t,t,0,English,UK,PG-13,100000000,23,2.35,good
